address;latitude;longitude;name;number;cluster
Coronation Dr / Go Between Bridge;-27.468839;153.011115;133 - CORONATION DR / GO BETWEEN BRIDGE;133;3
Vernon Tce / Ethel St;-27.454394;153.049519;68 - VERNON TCE / ETHEL ST;68;1
Railway Tce / Cribb St;-27.468845;153.007364;134 - RAILWAY TCE / CRIBB ST;134;3
Brunswick St Mall / Wickham St;-27.457512;153.033841;52 - BRUNSWICK ST MALL / WICKHAM ST;52;1
Turbot St / Barry Pde;-27.46123;153.031077;47 - TURBOT ST / BARRY PDE;47;0
Dunmore Tce / Kingsford St;-27.476003;153.000676;140 - DUNMORE TCE / KINGSFORD ST;140;3
Mary St / Albert St;-27.472044;153.027193;16 - MARY STREET / ALBERT STREET;16;0
James St / McLachlan St;-27.456276;153.039196;59 - JAMES ST / MCLACHLAN ST;59;1
Little Stanley St / Tribune St;-27.480385;153.023564;18 - LITTLE STANLEY ST / TRIBUNE ST;18;0
Queen St / Wharf St;-27.465043;153.030991;43 - QUEEN ST / WHARF ST;43;0
Charlotte St / Edward St;-27.469924;153.02822;9 - CHARLOTTE STREET / EDWARD STREET;9;0
Market St / Mary St;-27.469702;153.029828;5 - MARKET STREET / MARY STREET;5;0
Charlotte St / Eagle St;-27.468675;153.029834;4 - CHARLOTTE STREET / EAGLE STREET;4;0
King George Square / Ann St;-27.468422;153.024635;11 - KING GEORGE SQUARE / ANN ST;11;0
Oxlade Dr / Turner Ave;-27.473304;153.048757;85 - OXLADE DR / TURNER AVE;85;1
Roy St / Lang Pde;-27.473888;153.000599;138 - ROY ST / LANG PDE;138;3
Regatta Ferry Terminal / Sylvan Rd;-27.483168;152.996419;143 - REGATTA FERRY TERMINAL / SYLVAN RD;143;3
Lamington St / Powerhouse;-27.467802;153.053645;72 - LAMINGTON ST / POWERHOUSE;72;1
Coronation Dr / Archer St;-27.485872;152.99347;145 - CORONATION DR / ARCHER ST;145;3
VULTURE ST / STANLEY ST;-27.483259;153.026946;121 - VULTURE ST / STANLEY ST;121;0
Ann St / Creek St;-27.464986;153.027679;40 - ANN STREET / CREEK STREET;40;0
Blair Dr / Sir William McGregor Dr;-27.494561;153.016318;27 - BLAIR DR / SIR WILLIAM MACGREGOR DR;27;2
Park Rd / Douglas St;-27.470987;153.004602;136 - PARK RD / DOUGLAS ST;136;3
Ann St / Gipps St;-27.459833;153.033445;49 - ANN STREET / GIPPS STREET;49;1
Botanical Gardens / QUT;-27.475922;153.0288;21 - BOTANICAL GARDENS / QUT;21;0
George St / Ann St;-27.469075;153.021808;29 - GEORGE STREET / ANN STREET;29;0
Ann St / Murri Way;-27.452468;153.040565;63 - ANN ST / MURRI WAY;63;1
North Quay /Reddacliff Place;-27.471297;153.02257;26 - NORTH QUAY / REDDACLIFF PLACE;26;0
Brunswick St / Merthyr Rd;-27.467498;153.0467;82 - BRUNSWICK ST / MERTHYR RD;82;1
Merthyr Rd / James St;-27.463678;153.049485;74 - MERTHYR RD / JAMES ST;74;1
Albert St Mall / Elizabeth St;-27.47019;153.025852;15 - ALBERT STREET MALL / ELIZABETH STREET;15;0
Land St / Coronation Dr;-27.479453;152.997215;141 - LAND ST / CORONATION DR;141;3
O'Connell St / Lambert St;-27.474992;153.037647;130 - O'CONNELL ST / LAMBERT ST;130;0
Ann St / Gotha St;-27.46048;153.032768;48 - ANN ST / GOTHA ST;48;1
Bowen Tce / Bradfield Hwy;-27.461803;153.036021;53 - BOWEN TCE / BRADFIELD HWY;53;1
Annerley Rd / Boggo Rd;-27.494959;153.02802;125 - ANNERLEY RD / BOGGO RD;125;2
Macquarie St / Beeston St;-27.459091;153.050239;70 - MACQUARIE ST / BEESTON ST;70;1
